,predict,relation
16578,xIntent,xIntent
16579,xIntent,xWant
16580,xWant,xEffect
16581,xAttr,xNeed
16582,xEffect,xEffect
16583,xReact,oReact
16584,xReact,xReact
16585,xEffect,oReact
16586,xIntent,oWant
16587,oEffect,xEffect
16588,xIntent,xWant
16589,xAttr,xWant
16590,xIntent,xWant
16591,xIntent,xIntent
16592,oEffect,xEffect
16593,xEffect,xAttr
16594,xWant,xNeed
16595,xEffect,xEffect
16596,xIntent,xNeed
16597,xIntent,xWant
16598,xIntent,xReact
16599,xIntent,xWant
16600,xWant,oEffect
16601,xIntent,xNeed
16602,xEffect,xReact
16603,xAttr,xAttr
16604,xIntent,xAttr
16605,xEffect,xEffect
16606,xReact,oReact
16607,xAttr,xAttr
16608,xAttr,oEffect
16609,xAttr,xAttr
16610,xEffect,xWant
16611,xAttr,xAttr
16612,xEffect,xEffect
16613,xIntent,oReact
16614,xIntent,xNeed
16615,xAttr,xAttr
16616,oEffect,xIntent
16617,xIntent,xWant
16618,xAttr,oReact
16619,xAttr,xAttr
16620,xAttr,xAttr
16621,xIntent,xEffect
16622,xIntent,xWant
16623,xIntent,xEffect
16624,xEffect,oEffect
16625,xEffect,xEffect
16626,xAttr,xReact
16627,xEffect,xReact
16628,oEffect,xReact
16629,xIntent,xWant
16630,xEffect,xReact
16631,xReact,xNeed
16632,xIntent,xIntent
16633,xIntent,xWant
16634,xIntent,xIntent
16635,xEffect,xEffect
16636,xAttr,xReact
16637,xAttr,xReact
16638,xAttr,xEffect
16639,xNeed,xNeed
16640,xEffect,xNeed
16641,xAttr,xAttr
16642,xAttr,xReact
16643,xEffect,xEffect
16644,xIntent,xWant
16645,xAttr,xAttr
16646,xEffect,xReact
16647,xAttr,xReact
16648,oWant,oWant
16649,xWant,xNeed
16650,xEffect,xEffect
16651,xIntent,xWant
16652,oWant,xWant
16653,xAttr,xAttr
16654,xIntent,xAttr
16655,xIntent,xEffect
16656,xIntent,xAttr
16657,xIntent,xAttr
16658,xIntent,xAttr
16659,xAttr,xWant
16660,xIntent,xNeed
16661,xIntent,oWant
16662,xAttr,xAttr
16663,xIntent,xIntent
16664,xIntent,xAttr
16665,xWant,xWant
16666,xReact,xReact
16667,xIntent,xAttr
16668,xAttr,oWant
16669,xIntent,xWant
16670,xEffect,oEffect
16671,xIntent,xNeed
16672,xEffect,xAttr
16673,xIntent,xNeed
16674,xIntent,xWant
16675,xIntent,xNeed
16676,xIntent,xAttr
16677,xIntent,xWant
16678,xEffect,oEffect
16679,xIntent,xIntent
16680,oReact,xIntent
16681,xEffect,xEffect
16682,xIntent,oWant
16683,xIntent,xIntent
16684,xEffect,xReact
16685,xIntent,xWant
16686,xIntent,xNeed
16687,xAttr,xReact
16688,xReact,xReact
16689,xNeed,xNeed
16690,NA,xNeed
16691,xEffect,xEffect
16692,xEffect,xReact
16693,xIntent,xWant
16694,xIntent,xReact
16695,xWant,xNeed
16696,xReact,xReact
16697,oEffect,xIntent
16698,xAttr,xAttr
16699,xWant,xAttr
16700,xEffect,oEffect
16701,xIntent,xEffect
16702,xWant,xIntent
16703,xAttr,xAttr
16704,xEffect,xReact
16705,oEffect,xEffect
16706,xIntent,xWant
16707,xAttr,xAttr
16708,xNeed,xEffect
16709,xIntent,xNeed
16710,xIntent,xWant
16711,xAttr,xWant
16712,xIntent,xIntent
16713,xWant,oReact
16714,oEffect,xEffect
16715,xIntent,xNeed
16716,xAttr,xAttr
16717,xIntent,xAttr
16718,xIntent,xIntent
16719,xAttr,xAttr
16720,xAttr,xAttr
16721,xIntent,oReact
16722,xAttr,xAttr
16723,xWant,xNeed
16724,xAttr,xWant
16725,xIntent,xNeed
16726,xIntent,xNeed
16727,xEffect,xNeed
16728,xEffect,oReact
16729,oReact,xIntent
16730,xAttr,xAttr
16731,xAttr,xAttr
16732,oWant,xReact
16733,xIntent,xEffect
16734,xIntent,xWant
16735,xIntent,xWant
16736,xAttr,xAttr
16737,xIntent,xWant
16738,xAttr,xReact
16739,xEffect,xReact
16740,xIntent,xWant
16741,xAttr,xReact
16742,xEffect,xReact
16743,xAttr,xReact
16744,xWant,oWant
16745,xIntent,xWant
16746,xIntent,xNeed
16747,xIntent,xWant
16748,xWant,xWant
16749,xIntent,oEffect
16750,xWant,xAttr
16751,xIntent,oEffect
16752,xIntent,xAttr
16753,oReact,oEffect
16754,xIntent,oWant
16755,xIntent,xWant
16756,xReact,xAttr
16757,xWant,xNeed
16758,NA,xNeed
16759,xIntent,xWant
16760,xIntent,xEffect
16761,xIntent,xNeed
16762,xWant,xReact
16763,xIntent,xReact
16764,xEffect,xReact
16765,xWant,oWant
16766,xIntent,oWant
16767,xIntent,xWant
16768,xEffect,xIntent
16769,xIntent,xEffect
16770,xEffect,xIntent
16771,xIntent,xNeed
16772,xEffect,xReact
16773,xWant,xEffect
16774,xIntent,xWant
16775,xEffect,xReact
16776,xEffect,xReact
16777,xEffect,oReact
16778,xEffect,oEffect
16779,xAttr,xWant
16780,xIntent,xAttr
16781,oReact,xEffect
16782,xAttr,oReact
16783,xIntent,xIntent
16784,xIntent,xReact
16785,xIntent,xNeed
16786,NA,xNeed
16787,xIntent,xAttr
16788,xIntent,xNeed
16789,xIntent,xWant
16790,xIntent,xNeed
16791,oReact,xReact
16792,xAttr,xReact
16793,xAttr,xNeed
16794,xAttr,xEffect
16795,xReact,xEffect
16796,xReact,xEffect
16797,xWant,xEffect
16798,xAttr,xReact
16799,xEffect,xEffect
16800,xIntent,xIntent
16801,xAttr,xReact
16802,xIntent,xWant
16803,xWant,xWant
16804,xWant,xAttr
16805,xIntent,xWant
16806,xWant,oReact
16807,xReact,oEffect
16808,xIntent,xIntent
16809,xAttr,xReact
16810,xIntent,oWant
16811,oEffect,xEffect
16812,xIntent,xWant
16813,xWant,xIntent
16814,xIntent,xNeed
16815,xReact,xReact
16816,xEffect,xReact
16817,xWant,oWant
16818,xIntent,xIntent
16819,xIntent,xWant
16820,xNeed,oEffect
16821,xIntent,xNeed
16822,xAttr,oReact
16823,xIntent,xNeed
16824,xAttr,xAttr
16825,xIntent,xWant
16826,xIntent,xWant
16827,oWant,xReact
16828,xIntent,xIntent
16829,xIntent,xIntent
16830,xIntent,xReact
16831,xAttr,xIntent
16832,oEffect,xEffect
16833,xAttr,xReact
16834,xIntent,oWant
16835,xIntent,xIntent
16836,oEffect,xReact
16837,xNeed,xIntent
16838,xIntent,xNeed
16839,xIntent,xIntent
16840,xReact,xEffect
16841,xIntent,xIntent
16842,xAttr,xNeed
16843,xAttr,xAttr
16844,oWant,oWant
16845,xEffect,oReact
16846,xIntent,oReact
16847,xAttr,xEffect
16848,xIntent,xWant
16849,xAttr,xAttr
16850,xReact,oReact
16851,xEffect,xEffect
16852,xEffect,oReact
16853,xIntent,xIntent
16854,xIntent,xIntent
16855,xIntent,xIntent
16856,oWant,xNeed
16857,xIntent,xWant
16858,xIntent,xEffect
16859,xAttr,oWant
16860,xWant,xWant
16861,oReact,xEffect
16862,xIntent,xEffect
16863,xEffect,xAttr
16864,xWant,xEffect
16865,xEffect,xIntent
16866,oReact,xEffect
16867,xIntent,xAttr
16868,xAttr,oWant
16869,xIntent,xWant
16870,xAttr,xNeed
16871,oEffect,xAttr
16872,xIntent,oWant
16873,xEffect,xReact
16874,xNeed,xEffect
16875,xEffect,xWant
16876,xEffect,xAttr
16877,xEffect,xReact
16878,xAttr,xAttr
16879,xWant,oWant
16880,xNeed,xReact
16881,xEffect,xReact
16882,xIntent,xNeed
16883,xEffect,oReact
16884,oEffect,xReact
16885,xEffect,oReact
16886,xIntent,xWant
16887,xIntent,xReact
16888,xIntent,xAttr
16889,xAttr,xAttr
16890,oWant,xWant
16891,oWant,xWant
16892,xAttr,xReact
16893,xAttr,xAttr
16894,xReact,xWant
16895,xIntent,oWant
16896,xIntent,xWant
16897,xIntent,xReact
16898,xEffect,xEffect
16899,xIntent,xReact
16900,xIntent,xEffect
16901,xAttr,xEffect
16902,xAttr,xAttr
16903,xIntent,xWant
16904,xEffect,oEffect
16905,xAttr,oReact
16906,xReact,xAttr
16907,xIntent,xAttr
16908,xAttr,xReact
16909,xIntent,oEffect
16910,xAttr,xAttr
16911,xAttr,xAttr
16912,xAttr,xReact
16913,oEffect,xIntent
16914,xIntent,xWant
16915,xAttr,xAttr
16916,xIntent,xNeed
16917,xEffect,xAttr
16918,xIntent,xWant
16919,xEffect,oEffect
16920,xWant,xWant
16921,xIntent,xIntent
16922,xIntent,xNeed
16923,xEffect,xReact
16924,oWant,oWant
16925,xAttr,xReact
16926,xIntent,oEffect
16927,xIntent,xIntent
16928,xAttr,xAttr
16929,xIntent,xIntent
16930,xIntent,xIntent
16931,xIntent,xIntent
16932,xIntent,oWant
16933,xIntent,xNeed
16934,xNeed,oEffect
16935,xIntent,xWant
16936,xIntent,xIntent
16937,xIntent,xEffect
16938,xNeed,xEffect
16939,xReact,oEffect
16940,xIntent,xWant
16941,xIntent,xIntent
16942,oReact,xReact
16943,xIntent,xNeed
16944,xEffect,xReact
16945,xEffect,xAttr
16946,xEffect,oWant
16947,xReact,xAttr
16948,NA,xIntent
16949,xEffect,xReact
16950,xWant,xAttr
16951,NA,xIntent
16952,xAttr,xAttr
16953,xReact,oReact
16954,xIntent,xIntent
16955,xAttr,xReact
16956,xIntent,xIntent
16957,xIntent,oWant
16958,xIntent,xNeed
16959,xEffect,xAttr
16960,xAttr,xReact
16961,xAttr,xAttr
16962,xIntent,xAttr
16963,xAttr,xReact
16964,xIntent,xAttr
16965,xIntent,xIntent
16966,xIntent,xNeed
16967,xAttr,oReact
16968,oEffect,xAttr
16969,xEffect,xReact
16970,xIntent,xNeed
16971,xAttr,xAttr
16972,xIntent,xWant
16973,xIntent,xNeed
16974,xIntent,oWant
16975,xEffect,xReact
16976,xReact,xWant
16977,xIntent,xIntent
16978,xIntent,xReact
16979,NA,xWant
16980,xIntent,xNeed
16981,xAttr,xAttr
16982,xIntent,xEffect
16983,xWant,xReact
16984,xAttr,xAttr
16985,xWant,xReact
16986,xIntent,oWant
16987,xWant,xWant
16988,xAttr,xAttr
16989,xIntent,oEffect
16990,xIntent,xWant
16991,xEffect,xReact
16992,xAttr,xAttr
16993,xIntent,xWant
16994,oReact,oReact
16995,oWant,xIntent
16996,xEffect,oEffect
16997,oEffect,xEffect
16998,xIntent,xWant
16999,xWant,xWant
17000,xAttr,oWant
17001,xIntent,xWant
17002,xIntent,oWant
17003,xWant,xEffect
17004,xReact,xWant
17005,xAttr,xWant
17006,xWant,oWant
17007,xIntent,xWant
17008,xNeed,oWant
17009,xEffect,xReact
17010,xWant,xWant
17011,xAttr,xReact
17012,oReact,oEffect
17013,xIntent,xAttr
17014,xEffect,xEffect
17015,xEffect,oReact
17016,NA,oEffect
17017,xIntent,xNeed
17018,xIntent,xIntent
17019,xIntent,xIntent
17020,xReact,xAttr
17021,xAttr,xAttr
17022,xIntent,xReact
17023,xIntent,xWant
17024,xIntent,xWant
17025,xIntent,xWant
17026,xIntent,xAttr
17027,xAttr,oEffect
17028,xNeed,xEffect
17029,xWant,xWant
17030,xIntent,xEffect
17031,xAttr,xAttr
17032,oEffect,xEffect
17033,oEffect,xReact
17034,xIntent,xAttr
17035,xWant,xWant
17036,xIntent,xWant
17037,xReact,xIntent
17038,xNeed,xEffect
17039,oReact,xEffect
17040,xIntent,oWant
17041,xIntent,oWant
17042,xIntent,xIntent
17043,xReact,xAttr
17044,xIntent,oWant
17045,xAttr,xAttr
17046,xIntent,xEffect
17047,xIntent,xNeed
17048,xAttr,xReact
17049,xAttr,xReact
17050,xIntent,oWant
17051,xEffect,oEffect
17052,xWant,xEffect
17053,xAttr,xAttr
17054,xWant,oReact
17055,xIntent,xNeed
17056,xEffect,xReact
17057,xAttr,xAttr
17058,xEffect,xReact
17059,xEffect,xAttr
17060,xIntent,xEffect
17061,xEffect,xEffect
17062,xIntent,xAttr
17063,xAttr,xReact
17064,xAttr,xAttr
17065,xEffect,oReact
17066,xIntent,xEffect
17067,xIntent,xEffect
17068,xEffect,xReact
17069,xAttr,xAttr
17070,xEffect,xReact
17071,xIntent,xWant
17072,xIntent,xNeed
17073,xWant,xEffect
17074,xIntent,xIntent
17075,xEffect,xEffect
17076,oReact,xEffect
17077,xIntent,xReact
17078,xAttr,xAttr
17079,oEffect,xReact
17080,xNeed,xNeed
17081,xIntent,xIntent
17082,oReact,oReact
17083,xAttr,xNeed
17084,xWant,oReact
17085,xReact,xReact
17086,xNeed,xWant
17087,xAttr,xWant
17088,xWant,xWant
17089,xAttr,xReact
17090,xIntent,xWant
17091,xIntent,xAttr
17092,xIntent,xIntent
17093,xIntent,xIntent
17094,xIntent,xReact
17095,xIntent,xEffect
17096,xAttr,xAttr
17097,xWant,xEffect
17098,xAttr,xAttr
17099,xIntent,xIntent
17100,xAttr,xReact
17101,xIntent,xNeed
17102,xIntent,xReact
17103,xIntent,xReact
17104,xIntent,oEffect
17105,xIntent,xIntent
17106,xAttr,xReact
17107,xEffect,xReact
17108,xAttr,xIntent
17109,oEffect,xReact
17110,xWant,xIntent
17111,xIntent,oWant
17112,xWant,oWant
17113,xAttr,xReact
17114,xNeed,xAttr
17115,xReact,oReact
17116,xEffect,xReact
17117,xAttr,xAttr
17118,xIntent,xAttr
17119,xEffect,xEffect
17120,xIntent,xNeed
17121,xReact,xReact
17122,xIntent,xNeed
17123,xIntent,xNeed
17124,xIntent,xWant
17125,NA,xEffect
17126,xAttr,xReact
17127,xIntent,oEffect
17128,xIntent,xIntent
17129,xIntent,xAttr
